no	synset_id	name	description	synonyms	synonyms_extra
143	n03874599	lock	a detachable lock; has a hinged shackle that can be passed through the staple of a hasp or the links in a chain and then snapped shut	padlock	
144	n03775071	mitten	glove that encases the thumb separately and the other four fingers together	glove, left mitten	
145	n02484322	monkey	any of various long-tailed primates (excluding the prosimians)	chimp, chimpanzee	
146	n09358550	moon	any object resembling a moon	quarter moon, crescent moon, half moon, crescent	
147	n03790512	motorcycle	a motor vehicle with two wheels and a strong frame	motor bike, bike	
148	n09359803	mountain	a land mass that projects well above its surroundings; higher than a hill	mountain peak, snowcap, hill	
149	n02330245	mouse	any of numerous small rodents typically resembling diminutive rats having pointed snouts and small ears on elongated bodies with slender usually hairless tails	rat	
150	n13001041	mushroom	common name for an edible agaric (contrasting with the inedible toadstool)		
151	n03804744	nail	a thin pointed piece of metal that is hammered into materials as a fastener	spike	
152	n03805280	nail file	a small flat file for shaping the nails	file, fingernail file	
153	n03814906	necklace	jewelry consisting of a cord or chain (often bearing gems) worn about the neck as an ornament (especially by women)	pearl necklace, beads, pearls, chain, pearl chain, string of pearls	
154	n03816136	needle	a sharp pointed implement (usually steel)	pin, sewing needle	
155	n05598147	nose	the organ of smell and entrance to the respiratory tract; the prominent part of the face of man or other mammals	left nostril	
156	n03836191	nut	a small (usually square or hexagonal) metal block with internal screw thread to be fitted onto a bolt	bolt, hexagonal nut	
157	n12433081	onion	the bulb of an onion plant		
158	n07747607	orange	round yellow to orange fruit of any of several citrus trees	ball, grapefruit, fruit	
159	n01518878	ostrich	fast-running African flightless bird with two-toed feet; largest living bird	stork, turkey	
160	n01621127	owl	nocturnal bird of prey with hawk-like beak and claws and large head with front-facing eyes		
161	n03876231	paintbrush	a brush used as an applicator (to apply paint)	brush, ink pen, mk pen	
162	n04489008	pants	(usually in the plural) a garment extending from the waist to the knee or ankle,  covering each leg separately	slacks	
163	n07751004	peach	downy juicy fruit with sweet yellowish or whitish flesh	apple, pear, plum, fruit, orange	
164	n01806143	peacock	male peafowl; having a crested head and very large fanlike tail marked with iridescent eyes or spots	turkey, rooster, ostrich, bird	
