subjid,font,letter,label,user_label
fonts_06,atl,a,1,1
fonts_06,atl,b,1,1
fonts_06,atl,c,1,1
fonts_06,atl,d,1,1
fonts_06,atl,e,1,1
fonts_06,atl,f,1,1
fonts_06,dragon,a,2,2
fonts_06,dragon,b,2,2
fonts_06,dragon,c,2,2
fonts_06,dragon,d,2,2
fonts_06,dragon,e,2,2
fonts_06,dragon,f,2,2
fonts_06,futurama,a,3,3
fonts_06,futurama,b,3,3
fonts_06,futurama,c,3,4
fonts_06,futurama,d,3,3
fonts_06,futurama,e,3,3
fonts_06,futurama,f,3,3
fonts_06,hymmnos,a,4,4
fonts_06,hymmnos,b,4,4
fonts_06,hymmnos,c,4,4
fonts_06,hymmnos,d,4,4
fonts_06,hymmnos,e,4,4
fonts_06,hymmnos,f,4,4
fonts_06,ulog,a,5,5
fonts_06,ulog,b,5,5
fonts_06,ulog,c,5,5
fonts_06,ulog,d,5,5
fonts_06,ulog,e,5,5
fonts_06,ulog,f,5,5
fonts_07,arc,a,0,0
fonts_07,arc,b,0,0
fonts_07,arc,c,0,0
fonts_07,arc,d,0,0
fonts_07,arc,e,0,0
fonts_07,arc,f,0,0
fonts_07,atl,a,1,0
fonts_07,atl,b,1,1
fonts_07,atl,c,1,1
fonts_07,atl,d,1,1
fonts_07,atl,e,1,0
fonts_07,atl,f,1,1
fonts_07,dragon,a,2,2
fonts_07,dragon,b,2,2
fonts_07,dragon,c,2,2
fonts_07,dragon,d,2,2
fonts_07,dragon,e,2,2
fonts_07,dragon,f,2,2
fonts_07,futurama,a,3,3
fonts_07,futurama,b,3,2
fonts_07,futurama,c,3,2
fonts_07,futurama,d,3,3
fonts_07,futurama,e,3,3
fonts_07,futurama,f,3,3
fonts_07,hymmnos,a,4,4
fonts_07,hymmnos,b,4,3
fonts_07,hymmnos,c,4,4
fonts_07,hymmnos,d,4,4
fonts_07,hymmnos,e,4,4
fonts_07,hymmnos,f,4,4
fonts_07,ulog,a,5,5
fonts_07,ulog,b,5,5
fonts_07,ulog,c,5,5
fonts_07,ulog,d,5,5
fonts_07,ulog,e,5,5
fonts_07,ulog,f,5,5
fonts_08,arc,a,0,0
fonts_08,arc,b,0,0
fonts_08,arc,c,0,0
fonts_08,arc,d,0,0
fonts_08,arc,e,0,2
fonts_08,arc,f,0,2
fonts_08,atl,a,1,0
fonts_08,atl,b,1,1
fonts_08,atl,c,1,1
fonts_08,atl,d,1,1
fonts_08,atl,e,1,0
fonts_08,atl,f,1,1
fonts_08,dragon,a,2,2
fonts_08,dragon,b,2,2
fonts_08,dragon,c,2,2
fonts_08,dragon,d,2,2
fonts_08,dragon,e,2,2
fonts_08,dragon,f,2,2
fonts_08,futurama,a,3,3
fonts_08,futurama,b,3,2
fonts_08,futurama,c,3,3
fonts_08,futurama,d,3,3
fonts_08,futurama,e,3,3
fonts_08,futurama,f,3,3
fonts_08,hymmnos,a,4,4
fonts_08,hymmnos,b,4,3
fonts_08,hymmnos,c,4,4
fonts_08,hymmnos,d,4,4
fonts_08,hymmnos,e,4,4
fonts_08,hymmnos,f,4,4
fonts_08,ulog,a,5,5
fonts_08,ulog,b,5,5
fonts_08,ulog,c,5,5
fonts_08,ulog,d,5,5
fonts_08,ulog,e,5,5
fonts_08,ulog,f,5,5
